freq (Hz),leafValue( HF_I "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB),freq (Hz),leafValue( GD "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ),freq (Hz),leafValue( NF "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB)
33.44E6,-14.69,33.53E6,2.417E-9, , 
33.53E6,-14.77,33.62E6,2.402E-9, , 
33.62E6,-14.85,33.71E6,2.387E-9, , 
33.71E6,-14.93,33.80E6,2.372E-9, , 
33.80E6,-15.01,33.89E6,2.358E-9, , 
33.89E6,-15.08,33.98E6,2.343E-9, , 
33.98E6,-15.16,34.07E6,2.329E-9, , 
34.07E6,-15.24,34.16E6,2.315E-9, , 
34.16E6,-15.31,34.25E6,2.301E-9, , 
34.25E6,-15.39,34.34E6,2.288E-9, , 
34.34E6,-15.46,34.43E6,2.274E-9, , 
34.43E6,-15.54,34.52E6,2.261E-9, , 
34.52E6,-15.61,34.61E6,2.248E-9, , 
34.61E6,-15.69,34.70E6,2.235E-9, , 
34.70E6,-15.76,34.79E6,2.222E-9, , 
34.79E6,-15.84,34.88E6,2.210E-9, , 
34.88E6,-15.91,34.97E6,2.197E-9, , 
34.97E6,-15.98,35.06E6,2.185E-9, , 
35.06E6,-16.06,35.15E6,2.173E-9, , 
35.15E6,-16.13,35.24E6,2.161E-9, , 
35.24E6,-16.20,35.33E6,2.150E-9, , 
35.33E6,-16.27,35.42E6,2.138E-9, , 
35.42E6,-16.34,35.51E6,2.127E-9, , 
35.51E6,-16.41,35.60E6,2.115E-9, , 
35.60E6,-16.49,35.69E6,2.104E-9, , 
35.69E6,-16.56,35.78E6,2.093E-9, , 
35.78E6,-16.63,35.87E6,2.083E-9, , 
35.87E6,-16.70,35.96E6,2.072E-9, , 
35.96E6,-16.76,36.05E6,2.061E-9, , 
36.05E6,-16.83,36.14E6,2.051E-9, , 
36.14E6,-16.90,36.23E6,2.041E-9, , 
36.23E6,-16.97,36.32E6,2.031E-9, , 
36.32E6,-17.04,36.41E6,2.021E-9, , 
36.41E6,-17.11,36.50E6,2.011E-9, , 
36.50E6,-17.17,36.59E6,2.001E-9, , 
36.59E6,-17.24,36.68E6,1.991E-9, , 
36.68E6,-17.31,36.77E6,1.982E-9, , 
36.77E6,-17.37,36.86E6,1.973E-9, , 
36.86E6,-17.44,36.95E6,1.963E-9, , 
36.95E6,-17.51,37.04E6,1.954E-9, , 
37.04E6,-17.57,37.13E6,1.945E-9, , 
37.13E6,-17.64,37.22E6,1.936E-9, , 
37.22E6,-17.70,37.31E6,1.927E-9, , 
37.31E6,-17.77,37.40E6,1.919E-9, , 
37.40E6,-17.83,37.49E6,1.910E-9, , 
37.49E6,-17.90,37.58E6,1.902E-9, , 
37.58E6,-17.96,37.67E6,1.893E-9, , 
37.67E6,-18.02,37.76E6,1.885E-9, , 
37.76E6,-18.09,37.85E6,1.877E-9, , 
37.85E6,-18.15,37.94E6,1.869E-9, , 
37.94E6,-18.21,38.03E6,1.861E-9, , 
38.03E6,-18.28,38.12E6,1.853E-9, , 
38.12E6,-18.34,38.21E6,1.845E-9, , 
38.21E6,-18.40,38.30E6,1.837E-9, , 
38.30E6,-18.46,38.39E6,1.830E-9, , 
38.39E6,-18.52,38.48E6,1.822E-9, , 
38.48E6,-18.58,38.57E6,1.815E-9, , 
38.57E6,-18.65,38.66E6,1.808E-9, , 
38.66E6,-18.71,38.75E6,1.800E-9, , 
38.75E6,-18.77,38.84E6,1.793E-9, , 
38.84E6,-18.83,38.93E6,1.786E-9, , 
38.93E6,-18.89,39.02E6,1.779E-9, , 
39.02E6,-18.95,39.11E6,1.772E-9, , 
39.11E6,-19.01,39.20E6,1.765E-9, , 
39.20E6,-19.07,39.29E6,1.758E-9, , 
39.29E6,-19.12,39.38E6,1.752E-9, , 
39.38E6,-19.18,39.47E6,1.745E-9, , 
39.47E6,-19.24,39.56E6,1.739E-9, , 
39.56E6,-19.30,39.65E6,1.732E-9, , 
39.65E6,-19.36,39.74E6,1.726E-9, , 
39.74E6,-19.42,39.83E6,1.720E-9, , 
39.83E6,-19.47,39.92E6,1.713E-9, , 
39.92E6,-19.53,40.01E6,1.707E-9, , 
40.01E6,-19.59,40.10E6,1.701E-9, , 
40.10E6,-19.64,40.19E6,1.695E-9, , 
40.19E6,-19.70,40.28E6,1.689E-9, , 
40.28E6,-19.76,40.37E6,1.683E-9, , 
40.37E6,-19.81,40.46E6,1.677E-9, , 
40.46E6,-19.87,40.55E6,1.672E-9, , 
40.55E6,-19.93,40.64E6,1.666E-9, , 
40.64E6,-19.98,40.73E6,1.660E-9, , 
40.73E6,-20.04,40.82E6,1.655E-9, , 
40.82E6,-20.09,40.91E6,1.649E-9, , 
40.91E6,-20.15,41.00E6,1.644E-9, , 
41.00E6,-20.20,41.09E6,1.638E-9, , 
41.09E6,-20.26,41.18E6,1.633E-9, , 
41.18E6,-20.31,41.27E6,1.628E-9, , 
41.27E6,-20.36,41.36E6,1.623E-9, , 
41.36E6,-20.42,41.45E6,1.617E-9, , 
41.45E6,-20.47,41.54E6,1.612E-9, , 
41.54E6,-20.53,41.63E6,1.607E-9, , 
41.63E6,-20.58,41.72E6,1.602E-9, , 
41.72E6,-20.63,41.81E6,1.597E-9, , 
41.81E6,-20.68,41.90E6,1.592E-9, , 
41.90E6,-20.74,41.99E6,1.588E-9, , 
41.99E6,-20.79,42.08E6,1.583E-9, , 
42.08E6,-20.84,42.17E6,1.578E-9, , 
42.17E6,-20.89,42.26E6,1.573E-9, , 
42.26E6,-20.95,42.35E6,1.569E-9, , 
42.35E6,-21.00,42.44E6,1.564E-9, , 
42.44E6,-21.05,42.53E6,1.560E-9, , 
42.53E6,-21.10,42.62E6,1.555E-9, , 
42.62E6,-21.15,42.71E6,1.551E-9, , 
42.71E6,-21.20,42.80E6,1.546E-9, , 
42.80E6,-21.25,42.89E6,1.542E-9, , 
42.89E6,-21.30,42.98E6,1.538E-9, , 
42.98E6,-21.35,43.07E6,1.533E-9, , 
43.07E6,-21.40,43.16E6,1.529E-9, , 
43.16E6,-21.45,43.25E6,1.525E-9, , 
43.25E6,-21.50,43.34E6,1.521E-9, , 
43.34E6,-21.55,43.43E6,1.517E-9, , 
43.43E6,-21.60,43.52E6,1.513E-9, , 
43.52E6,-21.65,43.61E6,1.509E-9, , 
43.61E6,-21.70,43.70E6,1.505E-9, , 
43.70E6,-21.75,43.79E6,1.501E-9, , 
43.79E6,-21.80,43.88E6,1.497E-9, , 
43.88E6,-21.85,43.97E6,1.493E-9, , 
43.97E6,-21.90,44.06E6,1.490E-9, , 
44.06E6,-21.94,44.15E6,1.486E-9, , 
44.15E6,-21.99,44.24E6,1.482E-9, , 
44.24E6,-22.04,44.33E6,1.478E-9, , 
44.33E6,-22.09,44.42E6,1.475E-9, , 
44.42E6,-22.14,44.51E6,1.471E-9, , 
44.51E6,-22.18,44.60E6,1.468E-9, , 
44.60E6,-22.23,44.69E6,1.464E-9, , 
44.69E6,-22.28,44.78E6,1.461E-9, , 
44.78E6,-22.32,44.87E6,1.457E-9, , 
44.87E6,-22.37,44.96E6,1.454E-9, , 
44.96E6,-22.42,45.05E6,1.450E-9, , 
45.05E6,-22.46,45.14E6,1.447E-9, , 
45.14E6,-22.51,45.23E6,1.444E-9, , 
45.23E6,-22.56,45.32E6,1.440E-9, , 
45.32E6,-22.60,45.41E6,1.437E-9, , 
45.41E6,-22.65,45.50E6,1.434E-9, , 
45.50E6,-22.69,45.59E6,1.431E-9, , 
45.59E6,-22.74,45.68E6,1.428E-9, , 
45.68E6,-22.79,45.77E6,1.424E-9, , 
45.77E6,-22.83,45.86E6,1.421E-9, , 
45.86E6,-22.88,45.95E6,1.418E-9, , 
45.95E6,-22.92,46.04E6,1.415E-9, , 
46.04E6,-22.97,46.13E6,1.412E-9, , 
46.13E6,-23.01,46.22E6,1.409E-9, , 
